X,CH1,
Second,Volt,
5.66e-04,-4.00e-02,
5.68e-04,-4.00e-02,
5.70e-04,-4.00e-02,
5.72e-04,-4.00e-02,
5.74e-04,-4.00e-02,
5.76e-04,-7.99e-02,
5.78e-04,-4.00e-02,
5.80e-04,-4.00e-02,
5.82e-04,0.00e+00,
5.84e-04,-4.00e-02,
5.86e-04,-7.99e-02,
5.88e-04,-4.00e-02,
5.90e-04,-7.99e-02,
5.92e-04,-4.00e-02,
5.94e-04,-7.99e-02,
5.96e-04,-7.99e-02,
5.98e-04,0.00e+00,
