X,CH1,CH2,
Second,Volt,Volt,
-1.24e-04,4.60e-02,-1.04e+00,
-1.20e-04,4.80e-02,-1.16e+00,
-1.16e-04,6.59e-02,-1.64e+00,
-1.12e-04,6.80e-02,-1.68e+00,
-1.08e-04,8.60e-02,-2.08e+00,
-1.04e-04,8.79e-02,-2.16e+00,
-1.00e-04,1.04e-01,-2.56e+00,
-9.60e-05,1.06e-01,-2.60e+00,
-9.20e-05,1.18e-01,-2.96e+00,
-8.80e-05,1.18e-01,-3.04e+00,
-8.40e-05,1.32e-01,-3.28e+00,
-8.00e-05,1.32e-01,-3.32e+00,
-7.60e-05,1.40e-01,-3.52e+00,
-7.20e-05,1.42e-01,-3.56e+00,
-6.80e-05,1.46e-01,-3.72e+00,
-6.40e-05,1.46e-01,-3.72e+00,
-6.00e-05,1.50e-01,-3.80e+00,
-5.60e-05,1.52e-01,-3.84e+00,
-5.20e-05,1.48e-01,-3.80e+00,
-4.80e-05,1.50e-01,-3.84e+00,
-4.40e-05,1.44e-01,-3.76e+00,
-4.00e-05,1.44e-01,-3.72e+00,
-3.60e-05,1.38e-01,-3.60e+00,
-3.20e-05,1.36e-01,-3.56e+00,
-2.80e-05,1.28e-01,-3.40e+00,
-2.40e-05,1.26e-01,-3.36e+00,
-2.00e-05,1.16e-01,-3.04e+00,
-1.60e-05,1.14e-01,-3.04e+00,
-1.20e-05,1.02e-01,-2.72e+00,
-7.99e-06,1.00e-01,-2.64e+00,
-4.00e-06,8.19e-02,-2.28e+00,
0.00e+00,7.99e-02,-2.24e+00,
4.00e-06,6.40e-02,-1.80e+00,
7.99e-06,6.20e-02,-1.72e+00,
1.20e-05,4.20e-02,-1.28e+00,
1.60e-05,4.20e-02,-1.20e+00,
2.00e-05,2.20e-02,-7.60e-01,
2.40e-05,1.80e-02,-6.80e-01,
2.80e-05,0.00e+00,-1.60e-01,
3.20e-05,-2.00e-03,-1.20e-01,
3.60e-05,-2.00e-02,4.40e-01,
4.00e-05,-2.20e-02,4.80e-01,
4.40e-05,-4.20e-02,9.20e-01,
4.80e-05,-4.60e-02,1.00e+00,
5.20e-05,-6.20e-02,1.40e+00,
5.60e-05,-6.40e-02,1.48e+00,
6.00e-05,-7.99e-02,1.92e+00,
6.40e-05,-8.40e-02,1.92e+00,
6.80e-05,-1.00e-01,2.36e+00,
7.20e-05,-1.02e-01,2.40e+00,
7.60e-05,-1.12e-01,2.72e+00,
8.00e-05,-1.14e-01,2.76e+00,
8.40e-05,-1.26e-01,3.00e+00,
8.80e-05,-1.26e-01,3.08e+00,
9.20e-05,-1.34e-01,3.32e+00,
9.60e-05,-1.34e-01,3.32e+00,
1.00e-04,-1.42e-01,3.48e+00,
1.04e-04,-1.40e-01,3.48e+00,
1.08e-04,-1.44e-01,3.56e+00,
1.12e-04,-1.42e-01,3.56e+00,
1.16e-04,-1.50e-01,3.64e+00,
1.20e-04,-1.42e-01,3.56e+00,
1.24e-04,-1.36e-01,3.52e+00,
1.28e-04,-1.36e-01,3.48e+00,
1.32e-04,-1.30e-01,3.40e+00,
1.36e-04,-1.28e-01,3.36e+00,
1.40e-04,-1.22e-01,3.16e+00,
1.44e-04,-1.18e-01,3.12e+00,
1.48e-04,-1.06e-01,2.84e+00,
1.52e-04,-1.04e-01,2.76e+00,
1.56e-04,-9.00e-02,2.48e+00,
1.60e-04,-8.60e-02,2.40e+00,
1.64e-04,-7.20e-02,2.08e+00,
1.68e-04,-7.00e-02,1.96e+00,
1.72e-04,-5.40e-02,1.52e+00,
1.76e-04,-5.20e-02,1.44e+00,
1.80e-04,-3.20e-02,1.00e+00,
1.84e-04,-3.00e-02,9.20e-01,
1.88e-04,-1.20e-02,4.40e-01,
1.92e-04,-6.00e-03,3.60e-01,
1.96e-04,4.00e-03,-4.00e-02,
2.00e-04,2.00e-03,-4.00e-02,
2.04e-04,0.00e+00,-1.20e-01,
2.08e-04,0.00e+00,-1.20e-01,
2.12e-04,2.00e-03,-1.60e-01,
2.16e-04,8.00e-03,-4.00e-02,
2.20e-04,2.00e-03,-1.20e-01,
2.24e-04,2.00e-03,-4.00e-02,
2.28e-04,4.00e-03,-1.60e-01,
2.32e-04,2.00e-03,-4.00e-02,
2.36e-04,4.00e-03,-1.60e-01,
2.40e-04,4.00e-03,-1.60e-01,
2.44e-04,0.00e+00,-1.20e-01,
2.48e-04,2.00e-03,-4.00e-02,
2.52e-04,8.00e-03,-1.60e-01,
2.56e-04,0.00e+00,-1.20e-01,
2.60e-04,2.00e-03,-1.60e-01,
2.64e-04,2.00e-03,-1.60e-01,
2.68e-04,0.00e+00,-1.20e-01,
2.72e-04,2.00e-03,-1.20e-01,
2.76e-04,0.00e+00,-1.60e-01,
2.80e-04,4.00e-03,-1.20e-01,
2.84e-04,0.00e+00,-4.00e-02,
2.88e-04,-2.00e-03,-1.60e-01,
2.92e-04,6.00e-03,-1.20e-01,
2.96e-04,4.00e-03,-1.20e-01,
3.00e-04,0.00e+00,-4.00e-02,
3.04e-04,4.00e-03,-1.60e-01,
3.08e-04,0.00e+00,-1.20e-01,
3.12e-04,2.00e-03,-1.20e-01,
3.16e-04,4.00e-03,-1.60e-01,
3.20e-04,2.00e-03,-1.20e-01,
3.24e-04,4.00e-03,-1.60e-01,
3.28e-04,2.00e-03,-1.60e-01,
3.32e-04,4.00e-03,-4.00e-02,
3.36e-04,2.00e-03,-1.20e-01,
3.40e-04,6.00e-03,-1.60e-01,
3.44e-04,4.00e-03,-1.20e-01,
3.48e-04,0.00e+00,-1.60e-01,
3.52e-04,2.00e-03,-1.20e-01,
3.56e-04,2.00e-03,-1.60e-01,
3.60e-04,0.00e+00,-1.20e-01,
3.64e-04,4.00e-03,-1.60e-01,
3.68e-04,2.00e-03,-1.60e-01,
3.72e-04,4.00e-03,-4.00e-02,
3.76e-04,0.00e+00,-1.20e-01,
3.80e-04,4.00e-03,-1.60e-01,
3.84e-04,2.00e-03,-1.60e-01,
3.88e-04,0.00e+00,-1.20e-01,
3.92e-04,2.00e-03,-1.60e-01,
3.96e-04,0.00e+00,-1.20e-01,
4.00e-04,2.00e-03,-1.20e-01,
4.04e-04,8.00e-03,-1.60e-01,
4.08e-04,4.00e-03,-1.20e-01,
4.12e-04,0.00e+00,-1.60e-01,
4.16e-04,0.00e+00,-1.20e-01,
4.20e-04,4.00e-03,-1.20e-01,
4.24e-04,4.00e-03,-1.60e-01,
4.28e-04,0.00e+00,-1.20e-01,
4.32e-04,4.00e-03,-1.60e-01,
4.36e-04,0.00e+00,-1.20e-01,
4.40e-04,0.00e+00,-1.20e-01,
4.44e-04,4.00e-03,-1.60e-01,
4.48e-04,2.00e-03,-1.20e-01,
4.52e-04,2.00e-03,-1.60e-01,
4.56e-04,4.00e-03,-1.60e-01,
4.60e-04,0.00e+00,-4.00e-02,
4.64e-04,4.00e-03,-1.20e-01,
4.68e-04,0.00e+00,-1.60e-01,
4.72e-04,0.00e+00,-1.60e-01,
4.76e-04,4.00e-03,-1.20e-01,
4.80e-04,0.00e+00,-1.20e-01,
4.84e-04,4.00e-03,-1.20e-01,
4.88e-04,2.00e-03,-1.60e-01,
4.92e-04,0.00e+00,-1.20e-01,
4.96e-04,0.00e+00,-4.00e-02,
5.00e-04,4.00e-03,-1.60e-01,
5.04e-04,0.00e+00,-1.20e-01,
5.08e-04,4.00e-03,-1.20e-01,
5.12e-04,4.00e-03,-1.20e-01,
5.16e-04,0.00e+00,-1.60e-01,
5.20e-04,4.00e-03,-1.60e-01,
5.24e-04,2.00e-03,-1.20e-01,
5.28e-04,4.00e-03,-1.20e-01,
5.32e-04,2.00e-03,-1.60e-01,
5.36e-04,8.00e-03,-1.20e-01,
5.40e-04,0.00e+00,-1.60e-01,
5.44e-04,4.00e-03,-1.60e-01,
5.48e-04,0.00e+00,-1.20e-01,
5.52e-04,4.00e-03,-1.20e-01,
