X,CH1,
Second,Volt,
1.36e-03,-5.12e-01,
1.36e-03,-3.76e-01,
1.37e-03,-2.08e-01,
1.37e-03,-1.44e-01,
1.38e-03,-3.20e-02,
1.38e-03,6.40e-02,
1.38e-03,1.52e-01,
1.39e-03,2.16e-01,
1.39e-03,2.48e-01,
1.40e-03,2.48e-01,
1.40e-03,2.48e-01,
1.40e-03,2.48e-01,
1.41e-03,2.48e-01,
1.41e-03,2.48e-01,
1.42e-03,2.48e-01,
1.42e-03,2.48e-01,
1.42e-03,2.48e-01,
1.43e-03,2.48e-01,
1.43e-03,2.48e-01,
1.44e-03,2.48e-01,
1.44e-03,2.48e-01,
1.44e-03,2.48e-01,
1.45e-03,2.48e-01,
1.45e-03,2.48e-01,
1.46e-03,2.48e-01,
1.46e-03,2.40e-01,
1.46e-03,2.40e-01,
1.47e-03,2.24e-01,
1.47e-03,2.08e-01,
1.48e-03,1.84e-01,
1.48e-03,1.52e-01,
1.48e-03,1.20e-01,
1.49e-03,5.60e-02,
1.49e-03,-8.00e-03,
1.50e-03,-8.79e-02,
1.50e-03,-1.76e-01,
1.50e-03,-2.80e-01,
1.51e-03,-4.24e-01,
1.51e-03,-6.40e-01,
1.52e-03,-8.24e-01,
1.52e-03,-9.20e-01,
1.52e-03,-9.20e-01,
1.53e-03,-9.20e-01,
1.53e-03,-9.20e-01,
1.54e-03,-9.12e-01,
1.54e-03,-8.72e-01,
1.54e-03,-8.16e-01,
1.55e-03,-7.60e-01,
1.55e-03,-6.72e-01,
1.56e-03,-5.76e-01,
1.56e-03,-4.48e-01,
1.56e-03,-3.04e-01,
1.57e-03,-1.84e-01,
1.57e-03,-1.20e-01,
1.58e-03,-2.40e-02,
1.58e-03,5.60e-02,
1.58e-03,1.20e-01,
1.59e-03,1.76e-01,
1.59e-03,2.16e-01,
1.60e-03,2.40e-01,
1.60e-03,2.48e-01,
1.60e-03,2.48e-01,
1.61e-03,2.48e-01,
1.61e-03,2.48e-01,
1.62e-03,2.48e-01,
1.62e-03,2.48e-01,
1.62e-03,2.48e-01,
1.63e-03,2.48e-01,
1.63e-03,2.48e-01,
1.64e-03,2.40e-01,
1.64e-03,2.40e-01,
1.64e-03,2.40e-01,
1.65e-03,2.40e-01,
1.65e-03,2.40e-01,
1.66e-03,2.16e-01,
1.66e-03,2.08e-01,
1.66e-03,1.92e-01,
1.67e-03,1.52e-01,
1.67e-03,1.20e-01,
1.68e-03,7.99e-02,
1.68e-03,3.20e-02,
1.68e-03,-2.40e-02,
1.69e-03,-8.79e-02,
1.69e-03,-1.52e-01,
1.70e-03,-2.24e-01,
1.70e-03,-2.88e-01,
1.70e-03,-3.60e-01,
1.71e-03,-4.48e-01,
1.71e-03,-5.12e-01,
1.72e-03,-5.44e-01,
1.72e-03,-5.68e-01,
1.72e-03,-5.68e-01,
1.73e-03,-5.68e-01,
1.73e-03,-5.68e-01,
1.74e-03,-5.68e-01,
1.74e-03,-5.60e-01,
1.74e-03,-5.52e-01,
1.75e-03,-5.36e-01,
1.75e-03,-5.12e-01,
1.76e-03,-4.48e-01,
1.76e-03,-3.92e-01,
1.76e-03,-3.12e-01,
1.77e-03,-2.40e-01,
1.77e-03,-2.24e-01,
1.78e-03,-1.76e-01,
1.78e-03,-1.44e-01,
1.78e-03,-9.60e-02,
1.79e-03,-6.40e-02,
1.79e-03,-3.20e-02,
1.80e-03,-1.60e-02,
1.80e-03,-8.00e-03,
1.80e-03,-8.00e-03,
1.81e-03,-1.60e-02,
1.81e-03,-2.40e-02,
1.82e-03,-4.00e-02,
1.82e-03,-5.60e-02,
1.82e-03,-6.40e-02,
1.83e-03,-7.20e-02,
1.83e-03,-6.40e-02,
1.84e-03,-5.60e-02,
1.84e-03,-5.60e-02,
1.84e-03,-5.60e-02,
1.85e-03,-7.20e-02,
1.85e-03,-1.12e-01,
1.86e-03,-1.52e-01,
1.86e-03,-2.16e-01,
1.86e-03,-2.72e-01,
1.87e-03,-3.36e-01,
1.87e-03,-4.24e-01,
1.88e-03,-4.88e-01,
1.88e-03,-5.28e-01,
1.88e-03,-5.52e-01,
1.89e-03,-6.00e-01,
1.89e-03,-6.48e-01,
1.90e-03,-7.12e-01,
1.90e-03,-7.92e-01,
1.90e-03,-8.64e-01,
1.91e-03,-9.12e-01,
1.91e-03,-9.20e-01,
1.92e-03,-9.20e-01,
1.92e-03,-9.20e-01,
1.92e-03,-9.20e-01,
1.93e-03,-9.20e-01,
1.93e-03,-9.20e-01,
1.94e-03,-9.20e-01,
1.94e-03,-9.20e-01,
1.94e-03,-9.20e-01,
1.95e-03,-9.20e-01,
1.95e-03,-9.04e-01,
1.96e-03,-8.96e-01,
1.96e-03,-8.88e-01,
1.96e-03,-8.88e-01,
1.97e-03,-8.80e-01,
1.97e-03,-8.80e-01,
1.98e-03,-8.72e-01,
1.98e-03,-8.48e-01,
1.98e-03,-8.16e-01,
1.99e-03,-7.84e-01,
1.99e-03,-7.28e-01,
2.00e-03,-6.64e-01,
2.00e-03,-6.16e-01,
2.00e-03,-5.68e-01,
2.01e-03,-5.36e-01,
2.01e-03,-5.44e-01,
2.02e-03,-5.60e-01,
2.02e-03,-5.92e-01,
2.02e-03,-5.92e-01,
2.03e-03,-5.76e-01,
2.03e-03,-5.36e-01,
2.04e-03,-4.88e-01,
2.04e-03,-4.24e-01,
2.04e-03,-3.60e-01,
2.05e-03,-3.28e-01,
2.05e-03,-3.20e-01,
2.06e-03,-3.44e-01,
2.06e-03,-4.00e-01,
2.06e-03,-4.80e-01,
2.07e-03,-5.60e-01,
2.07e-03,-6.40e-01,
2.08e-03,-6.72e-01,
2.08e-03,-7.20e-01,
2.08e-03,-7.28e-01,
2.09e-03,-7.44e-01,
2.09e-03,-7.52e-01,
2.10e-03,-7.76e-01,
2.10e-03,-7.92e-01,
2.10e-03,-8.08e-01,
2.11e-03,-8.32e-01,
2.11e-03,-8.32e-01,
2.12e-03,-8.16e-01,
2.12e-03,-7.92e-01,
2.12e-03,-7.68e-01,
2.13e-03,-7.44e-01,
2.13e-03,-7.20e-01,
2.14e-03,-7.12e-01,
2.14e-03,-7.20e-01,
2.14e-03,-7.36e-01,
2.15e-03,-7.52e-01,
2.15e-03,-7.68e-01,
2.16e-03,-7.60e-01,
2.16e-03,-7.52e-01,
2.16e-03,-7.28e-01,
2.17e-03,-6.88e-01,
2.17e-03,-6.64e-01,
