X,CH1,CH2,
Second,Volt,Volt,
2.00e-06,4.60e-02,-2.88e+00,
3.00e-06,4.20e-02,-2.56e+00,
4.00e-06,4.20e-02,-2.56e+00,
5.00e-06,3.60e-02,-2.32e+00,
6.00e-06,3.40e-02,-2.32e+00,
7.00e-06,2.80e-02,-2.08e+00,
7.99e-06,3.20e-02,-2.08e+00,
9.00e-06,2.60e-02,-1.84e+00,
1.00e-05,2.40e-02,-1.84e+00,
1.10e-05,2.00e-02,-1.60e+00,
1.20e-05,2.00e-02,-1.60e+00,
1.30e-05,1.40e-02,-1.28e+00,
1.40e-05,1.40e-02,-1.28e+00,
1.50e-05,8.00e-03,-1.04e+00,
1.60e-05,8.00e-03,-1.04e+00,
1.70e-05,4.00e-03,-8.00e-01,
1.80e-05,2.00e-03,-7.20e-01,
1.90e-05,-2.00e-03,-4.80e-01,
2.00e-05,-2.00e-03,-4.80e-01,
2.10e-05,-6.00e-03,-7.99e-02,
2.20e-05,-6.00e-03,-7.99e-02,
2.30e-05,-1.20e-02,7.99e-02,
2.40e-05,-1.20e-02,1.60e-01,
2.50e-05,-1.60e-02,4.00e-01,
2.60e-05,-1.60e-02,4.00e-01,
2.70e-05,-2.20e-02,6.40e-01,
2.80e-05,-2.20e-02,6.40e-01,
2.90e-05,-2.80e-02,8.00e-01,
3.00e-05,-2.80e-02,8.80e-01,
3.10e-05,-3.20e-02,1.04e+00,
3.20e-05,-3.20e-02,1.04e+00,
3.30e-05,-3.80e-02,1.28e+00,
3.40e-05,-3.80e-02,1.28e+00,
3.50e-05,-4.40e-02,1.52e+00,
3.60e-05,-4.40e-02,1.52e+00,
3.70e-05,-5.00e-02,1.76e+00,
3.80e-05,-4.80e-02,1.76e+00,
3.90e-05,-5.40e-02,2.00e+00,
4.00e-05,-5.40e-02,2.00e+00,
4.10e-05,-6.00e-02,2.24e+00,
4.20e-05,-6.00e-02,2.24e+00,
4.30e-05,-6.40e-02,2.56e+00,
4.40e-05,-6.40e-02,2.56e+00,
4.50e-05,-7.00e-02,2.64e+00,
4.60e-05,-7.00e-02,2.72e+00,
4.70e-05,-7.40e-02,2.96e+00,
4.80e-05,-7.40e-02,2.96e+00,
4.90e-05,-7.80e-02,3.20e+00,
5.00e-05,-7.80e-02,3.20e+00,
5.10e-05,-8.19e-02,3.44e+00,
5.20e-05,-7.99e-02,3.44e+00,
5.30e-05,-8.79e-02,3.60e+00,
5.40e-05,-8.79e-02,3.68e+00,
5.50e-05,-9.20e-02,3.84e+00,
5.60e-05,-9.00e-02,3.84e+00,
5.70e-05,-9.60e-02,4.08e+00,
5.80e-05,-9.40e-02,4.08e+00,
5.90e-05,-1.00e-01,4.32e+00,
6.00e-05,-9.80e-02,4.32e+00,
6.10e-05,-1.02e-01,4.48e+00,
6.20e-05,-1.02e-01,4.48e+00,
6.30e-05,-1.06e-01,4.72e+00,
6.40e-05,-1.04e-01,4.72e+00,
6.50e-05,-1.10e-01,4.88e+00,
6.60e-05,-1.10e-01,4.88e+00,
6.70e-05,-1.14e-01,5.20e+00,
6.80e-05,-1.12e-01,5.12e+00,
6.90e-05,-1.18e-01,5.36e+00,
7.00e-05,-1.16e-01,5.36e+00,
7.10e-05,-1.20e-01,5.44e+00,
