X,CH1,
Second,Volt,
4.20e-03,9.60e-02,
4.22e-03,9.60e-02,
4.24e-03,9.60e-02,
4.26e-03,7.20e-02,
4.28e-03,6.40e-02,
4.30e-03,4.80e-02,
4.32e-03,4.00e-02,
4.34e-03,3.20e-02,
4.36e-03,4.80e-02,
4.38e-03,3.20e-02,
4.40e-03,3.20e-02,
4.42e-03,0.00e+00,
4.44e-03,0.00e+00,
4.46e-03,-4.80e-02,
4.48e-03,-5.60e-02,
4.50e-03,-9.60e-02,
4.52e-03,-1.04e-01,
4.54e-03,-1.20e-01,
4.56e-03,-1.20e-01,
4.58e-03,-1.44e-01,
4.60e-03,-1.52e-01,
4.62e-03,-2.16e-01,
4.64e-03,-2.24e-01,
4.66e-03,-2.72e-01,
4.68e-03,-2.56e-01,
4.70e-03,-1.68e-01,
4.72e-03,-1.52e-01,
4.74e-03,-5.60e-02,
4.76e-03,-4.00e-02,
4.78e-03,-1.60e-02,
4.80e-03,-8.00e-03,
4.82e-03,-8.00e-03,
4.84e-03,-1.60e-02,
4.86e-03,0.00e+00,
4.88e-03,0.00e+00,
4.90e-03,4.80e-02,
4.92e-03,4.80e-02,
4.94e-03,6.40e-02,
4.96e-03,6.40e-02,
4.98e-03,7.20e-02,
5.00e-03,6.40e-02,
5.02e-03,4.00e-02,
5.04e-03,4.00e-02,
5.06e-03,3.20e-02,
5.08e-03,3.20e-02,
5.10e-03,8.00e-03,
5.12e-03,0.00e+00,
5.14e-03,8.00e-03,
5.16e-03,8.00e-03,
5.18e-03,-8.00e-03,
5.20e-03,-8.00e-03,
5.22e-03,-1.60e-02,
5.24e-03,-1.60e-02,
5.26e-03,-2.40e-02,
5.28e-03,-2.40e-02,
5.30e-03,-2.40e-02,
5.32e-03,-2.40e-02,
5.34e-03,-3.20e-02,
5.36e-03,-3.20e-02,
5.38e-03,-5.60e-02,
5.40e-03,-5.60e-02,
5.42e-03,-8.79e-02,
5.44e-03,-8.79e-02,
5.46e-03,-9.60e-02,
5.48e-03,-7.99e-02,
5.50e-03,-4.80e-02,
5.52e-03,-4.80e-02,
5.54e-03,-8.00e-03,
5.56e-03,-8.00e-03,
5.58e-03,1.60e-02,
5.60e-03,1.60e-02,
5.62e-03,3.20e-02,
5.64e-03,4.00e-02,
5.66e-03,5.60e-02,
5.68e-03,5.60e-02,
5.70e-03,3.20e-02,
5.72e-03,3.20e-02,
5.74e-03,2.40e-02,
5.76e-03,2.40e-02,
5.78e-03,3.20e-02,
5.80e-03,3.20e-02,
5.82e-03,1.60e-02,
5.84e-03,1.60e-02,
5.86e-03,-1.60e-02,
5.88e-03,-2.40e-02,
5.90e-03,-3.20e-02,
5.92e-03,-3.20e-02,
5.94e-03,-1.60e-02,
5.96e-03,-1.60e-02,
5.98e-03,0.00e+00,
6.00e-03,0.00e+00,
6.02e-03,-8.00e-03,
6.04e-03,-1.60e-02,
6.06e-03,-2.40e-02,
6.08e-03,-2.40e-02,
6.10e-03,0.00e+00,
6.12e-03,8.00e-03,
