X;CH1;CH2;Math;0,76;
Second;Volt;Volt;Volt;;
-246;-3,68E+00;0,00E+00;-3,68E+00;0,76;
-244;-3,68E+00;0,00E+00;-3,68E+00;0,76;
-242;-3,72E+00;-4,00E-02;-3,68E+00;0,76;
-240;-3,76E+00;-4,00E-02;-3,72E+00;0,76;
-238;-3,68E+00;-4,00E-02;-3,64E+00;0,76;
-236;-3,72E+00;-4,00E-02;-3,68E+00;0,76;
-234;-3,64E+00;0,00E+00;-3,64E+00;0,76;
-232;-3,64E+00;-4,00E-02;-3,60E+00;0,76;
-230;-3,56E+00;0,00E+00;-3,56E+00;0,76;
-228;-3,56E+00;-4,00E-02;-3,52E+00;0,76;
-226;-3,48E+00;0,00E+00;-3,48E+00;0,76;
-224;-3,48E+00;-4,00E-02;-3,44E+00;0,76;
-222;-3,40E+00;0,00E+00;-3,40E+00;0,76;
-220;-3,36E+00;0,00E+00;-3,36E+00;0,76;
-218;-3,28E+00;-4,00E-02;-3,24E+00;0,76;
-216;-3,24E+00;0,00E+00;-3,24E+00;0,76;
-214;-3,16E+00;-4,00E-02;-3,12E+00;0,76;
-212;-3,12E+00;-4,00E-02;-3,08E+00;0,76;
-210;-2,96E+00;-4,00E-02;-2,92E+00;0,76;
-208;-2,96E+00;-4,00E-02;-2,92E+00;0,76;
-206;-2,76E+00;0,00E+00;-2,76E+00;0,76;
-204;-2,76E+00;-4,00E-02;-2,72E+00;0,76;
-202;-2,56E+00;0,00E+00;-2,56E+00;0,76;
-200;-2,56E+00;-4,00E-02;-2,52E+00;0,76;
-198;-2,36E+00;-4,00E-02;-2,32E+00;0,76;
-196;-2,36E+00;-4,00E-02;-2,32E+00;0,76;
-194;-2,16E+00;0,00E+00;-2,16E+00;0,76;
-192;-2,12E+00;-4,00E-02;-2,08E+00;0,76;
-190;-1,92E+00;0,00E+00;-1,92E+00;0,76;
-188;-1,92E+00;-4,00E-02;-1,88E+00;0,76;
-186;-1,68E+00;0,00E+00;-1,68E+00;0,76;
-184;-1,64E+00;-4,00E-02;-1,60E+00;0,76;
-182;-1,40E+00;0,00E+00;-1,40E+00;0,76;
-180;-1,40E+00;0,00E+00;-1,40E+00;0,76;
-178;-1,12E+00;-4,00E-02;-1,08E+00;0,76;
-176;-1,12E+00;-4,00E-02;-1,08E+00;0,76;
-174;-8,80E-01;0,00E+00;-8,80E-01;0,76;
-172;-8,80E-01;-4,00E-02;-8,40E-01;0,76;
-170;-6,00E-01;0,00E+00;-6,00E-01;0,76;
-168;-6,00E-01;-4,00E-02;-5,60E-01;0,76;
-166;-3,20E-01;0,00E+00;-3,20E-01;0,76;
-164;-2,80E-01;-4,00E-02;-2,40E-01;0,76;
-162;-7,99E-02;-4,00E-02;-3,99E-02;0,76;
-160;-7,99E-02;-4,00E-02;-3,99E-02;0,76;
-158;1,60E-01;0,00E+00;1,60E-01;0,76;
-156;2,00E-01;-4,00E-02;2,40E-01;0,76;
-154;4,80E-01;0,00E+00;4,80E-01;0,76;
-152;4,80E-01;0,00E+00;4,80E-01;0,76;
-150;7,20E-01;1,20E-01;6,00E-01;0,76;
-148;7,20E-01;1,20E-01;6,00E-01;0,76;
-146;9,60E-01;3,20E-01;6,40E-01;0,76;
-144;9,60E-01;3,60E-01;6,00E-01;0,76;
-142;1,24E+00;6,00E-01;6,40E-01;0,76;
-140;1,24E+00;6,00E-01;6,40E-01;0,76;
-138;1,44E+00;8,00E-01;6,40E-01;0,76;
-136;1,52E+00;8,00E-01;7,20E-01;0,76;
-134;1,68E+00;1,00E+00;6,80E-01;0,76;
-132;1,72E+00;1,00E+00;7,20E-01;0,76;
-130;1,96E+00;1,24E+00;7,20E-01;0,76;
-128;1,96E+00;1,28E+00;6,80E-01;0,76;
-126;2,20E+00;1,44E+00;7,60E-01;0,76;
-124;2,24E+00;1,52E+00;7,20E-01;0,76;
-122;2,40E+00;1,64E+00;7,60E-01;0,76;
-120;2,40E+00;1,72E+00;6,80E-01;0,76;
-118;2,60E+00;1,88E+00;7,20E-01;0,76;
-116;2,60E+00;1,88E+00;7,20E-01;0,76;
-114;2,76E+00;2,04E+00;7,20E-01;0,76;
-112;2,80E+00;2,04E+00;7,60E-01;0,76;
-110;2,92E+00;2,20E+00;7,20E-01;0,76;
-108;2,92E+00;2,20E+00;7,20E-01;0,76;
-106;3,12E+00;2,36E+00;7,60E-01;0,76;
-104;3,12E+00;2,36E+00;7,60E-01;0,76;
-102;3,20E+00;2,48E+00;7,20E-01;0,76;
-100;3,24E+00;2,52E+00;7,20E-01;0,76;
-98;3,36E+00;2,60E+00;7,60E-01;0,76;
-96;3,36E+00;2,64E+00;7,20E-01;0,76;
-94;3,48E+00;2,68E+00;8,00E-01;0,76;
-92;3,44E+00;2,72E+00;7,20E-01;0,76;
-90;3,52E+00;2,80E+00;7,20E-01;0,76;
-88;3,52E+00;2,80E+00;7,20E-01;0,76;
-86;3,60E+00;2,84E+00;7,60E-01;0,76;
-84;3,60E+00;2,84E+00;7,60E-01;0,76;
-82;3,64E+00;2,88E+00;7,60E-01;0,76;
-80;3,60E+00;2,88E+00;7,20E-01;0,76;
-78;3,64E+00;2,92E+00;7,20E-01;0,76;
-76;3,64E+00;2,92E+00;7,20E-01;0,76;
-74;3,68E+00;2,88E+00;8,00E-01;0,76;
-72;3,64E+00;2,92E+00;7,20E-01;0,76;
-70;3,56E+00;2,88E+00;6,80E-01;0,76;
-68;3,64E+00;2,88E+00;7,60E-01;0,76;
-66;3,56E+00;2,84E+00;7,20E-01;0,76;
-64;3,56E+00;2,84E+00;7,20E-01;0,76;
-62;3,52E+00;2,76E+00;7,60E-01;0,76;
-60;3,48E+00;2,76E+00;7,20E-01;0,76;
-58;3,40E+00;2,68E+00;7,20E-01;0,76;
-56;3,40E+00;2,68E+00;7,20E-01;0,76;
-54;3,32E+00;2,56E+00;7,60E-01;0,76;
-52;3,36E+00;2,56E+00;8,00E-01;0,76;
-50;3,20E+00;2,48E+00;7,20E-01;0,76;
-48;3,16E+00;2,44E+00;7,20E-01;0,76;
-46;3,04E+00;2,36E+00;6,80E-01;0,76;
-44;3,04E+00;2,32E+00;7,20E-01;0,76;
-42;2,88E+00;2,20E+00;6,80E-01;0,76;
-40;2,88E+00;2,16E+00;7,20E-01;0,76;
-38;2,68E+00;2,00E+00;6,80E-01;0,76;
-36;2,68E+00;1,96E+00;7,20E-01;0,76;
-34;2,52E+00;1,84E+00;6,80E-01;0,76;
-32;2,52E+00;1,80E+00;7,20E-01;0,76;
-30;2,28E+00;1,64E+00;6,40E-01;0,76;
-28;2,28E+00;1,64E+00;6,40E-01;0,76;
-26;2,08E+00;1,44E+00;6,40E-01;0,76;
-24;2,04E+00;1,44E+00;6,00E-01;0,76;
-22;1,84E+00;1,28E+00;5,60E-01;0,76;
-20;1,80E+00;1,24E+00;5,60E-01;0,76;
-18;1,56E+00;1,16E+00;4,00E-01;0,76;
-16;1,52E+00;1,16E+00;3,60E-01;0,76;
-14;1,28E+00;1,20E+00;8,00E-02;0,76;
-12;1,24E+00;1,16E+00;8,00E-02;0,76;
-9,99;1,00E+00;1,20E+00;-2,00E-01;0,76;
-7,99;9,60E-01;1,20E+00;-2,40E-01;0,76;
-6;7,60E-01;1,16E+00;-4,00E-01;0,76;
-4;6,80E-01;1,16E+00;-4,80E-01;0,76;
-2;4,80E-01;1,16E+00;-6,80E-01;0,76;
-2,02E-08;4,80E-01;1,20E+00;-7,20E-01;0,76;
2;2,00E-01;1,16E+00;-9,60E-01;0,76;
4;2,00E-01;1,16E+00;-9,60E-01;0,76;
6;-4,00E-02;1,20E+00;-1,24E+00;0,76;
7,99;0,00E+00;1,16E+00;-1,16E+00;0,76;
10;-4,00E-02;1,20E+00;-1,24E+00;0,76;
12;-4,00E-02;1,16E+00;-1,20E+00;0,76;
14;-4,00E-02;1,16E+00;-1,20E+00;0,76;
16;-4,00E-02;1,20E+00;-1,24E+00;0,76;
18;-4,00E-02;1,16E+00;-1,20E+00;0,76;
20;-4,00E-02;1,20E+00;-1,24E+00;0,76;
22;-4,00E-02;1,16E+00;-1,20E+00;0,76;
24;-4,00E-02;1,16E+00;-1,20E+00;0,76;
26;-7,99E-02;1,20E+00;-1,28E+00;0,76;
28;-4,00E-02;1,16E+00;-1,20E+00;0,76;
30;-4,00E-02;1,20E+00;-1,24E+00;0,76;
32;-4,00E-02;1,16E+00;-1,20E+00;0,76;
34;-4,00E-02;1,20E+00;-1,24E+00;0,76;
36;-4,00E-02;1,20E+00;-1,24E+00;0,76;
38;-4,00E-02;1,16E+00;-1,20E+00;0,76;
40;-4,00E-02;1,20E+00;-1,24E+00;0,76;
42;-7,99E-02;1,16E+00;-1,24E+00;0,76;
44;-4,00E-02;1,12E+00;-1,16E+00;0,76;
46;-4,00E-02;1,16E+00;-1,20E+00;0,76;
48;-4,00E-02;1,20E+00;-1,24E+00;0,76;
50;-4,00E-02;1,12E+00;-1,16E+00;0,76;
52;-4,00E-02;1,16E+00;-1,20E+00;0,76;
54;-7,99E-02;1,20E+00;-1,28E+00;0,76;
56;-7,99E-02;1,16E+00;-1,24E+00;0,76;
58;-4,00E-02;1,20E+00;-1,24E+00;0,76;
60;-4,00E-02;1,16E+00;-1,20E+00;0,76;
62;-7,99E-02;1,20E+00;-1,28E+00;0,76;
64;-7,99E-02;1,16E+00;-1,24E+00;0,76;
66;-4,00E-02;1,16E+00;-1,20E+00;0,76;
68;-4,00E-02;1,20E+00;-1,24E+00;0,76;
70;-7,99E-02;1,16E+00;-1,24E+00;0,76;
72;-7,99E-02;1,16E+00;-1,24E+00;0,76;
74;-4,00E-02;1,20E+00;-1,24E+00;0,76;
76;-4,00E-02;1,20E+00;-1,24E+00;0,76;
78;-7,99E-02;1,12E+00;-1,20E+00;0,76;
80;-4,00E-02;1,20E+00;-1,24E+00;0,76;
82;-7,99E-02;1,12E+00;-1,20E+00;0,76;
84;-4,00E-02;1,16E+00;-1,20E+00;0,76;
86;-7,99E-02;1,20E+00;-1,28E+00;0,76;
88;-4,00E-02;1,20E+00;-1,24E+00;0,76;
90;-4,00E-02;1,16E+00;-1,20E+00;0,76;
92;-4,00E-02;1,16E+00;-1,20E+00;0,76;
94;-7,99E-02;1,20E+00;-1,28E+00;0,76;
96;-7,99E-02;1,20E+00;-1,28E+00;0,76;
98;-4,00E-02;1,16E+00;-1,20E+00;0,76;
100;-4,00E-02;1,20E+00;-1,24E+00;0,76;
102;-4,00E-02;1,16E+00;-1,20E+00;0,76;
104;-4,00E-02;1,20E+00;-1,24E+00;0,76;
106;-7,99E-02;1,16E+00;-1,24E+00;0,76;
108;-4,00E-02;1,16E+00;-1,20E+00;0,76;
110;-7,99E-02;1,20E+00;-1,28E+00;0,76;
112;-4,00E-02;1,16E+00;-1,20E+00;0,76;
114;-7,99E-02;1,20E+00;-1,28E+00;0,76;
116;-4,00E-02;1,16E+00;-1,20E+00;0,76;
118;-7,99E-02;1,20E+00;-1,28E+00;0,76;
120;-4,00E-02;1,16E+00;-1,20E+00;0,76;
122;-7,99E-02;1,20E+00;-1,28E+00;0,76;
124;-4,00E-02;1,16E+00;-1,20E+00;0,76;
126;-7,99E-02;1,20E+00;-1,28E+00;0,76;
128;-4,00E-02;1,16E+00;-1,20E+00;0,76;
130;-7,99E-02;1,20E+00;-1,28E+00;0,76;
132;-4,00E-02;1,16E+00;-1,20E+00;0,76;
134;-4,00E-02;1,20E+00;-1,24E+00;0,76;
136;-4,00E-02;1,20E+00;-1,24E+00;0,76;
138;-7,99E-02;1,16E+00;-1,24E+00;0,76;
140;-4,00E-02;1,20E+00;-1,24E+00;0,76;
142;-7,99E-02;1,12E+00;-1,20E+00;0,76;
144;-4,00E-02;1,20E+00;-1,24E+00;0,76;
146;-4,00E-02;1,12E+00;-1,16E+00;0,76;
148;-4,00E-02;1,16E+00;-1,20E+00;0,76;
150;-7,99E-02;1,20E+00;-1,28E+00;0,76;
152;-4,00E-02;1,16E+00;-1,20E+00;0,76;
154;-7,99E-02;1,20E+00;-1,28E+00;0,76;
156;-4,00E-02;1,16E+00;-1,20E+00;0,76;
158;-4,00E-02;1,20E+00;-1,24E+00;0,76;
160;-4,00E-02;1,20E+00;-1,24E+00;0,76;
162;-7,99E-02;1,16E+00;-1,24E+00;0,76;
164;-4,00E-02;1,12E+00;-1,16E+00;0,76;
166;-4,00E-02;1,20E+00;-1,24E+00;0,76;
168;-4,00E-02;1,12E+00;-1,16E+00;0,76;
170;-7,99E-02;1,20E+00;-1,28E+00;0,76;
172;-4,00E-02;1,16E+00;-1,20E+00;0,76;
174;-7,99E-02;1,16E+00;-1,24E+00;0,76;
176;-4,00E-02;1,20E+00;-1,24E+00;0,76;
178;-7,99E-02;1,16E+00;-1,24E+00;0,76;
180;-4,00E-02;1,20E+00;-1,24E+00;0,76;
182;-7,99E-02;1,12E+00;-1,20E+00;0,76;
184;-4,00E-02;1,16E+00;-1,20E+00;0,76;
186;-4,00E-02;1,20E+00;-1,24E+00;0,76;
188;-4,00E-02;1,16E+00;-1,20E+00;0,76;
190;-7,99E-02;1,20E+00;-1,28E+00;0,76;
192;-7,99E-02;1,16E+00;-1,24E+00;0,76;
194;-4,00E-02;1,20E+00;-1,24E+00;0,76;
196;-4,00E-02;1,16E+00;-1,20E+00;0,76;
198;-7,99E-02;1,20E+00;-1,28E+00;0,76;
200;-4,00E-02;1,16E+00;-1,20E+00;0,76;
202;-7,99E-02;1,20E+00;-1,28E+00;0,76;
204;-4,00E-02;1,12E+00;-1,16E+00;0,76;
206;-7,99E-02;1,20E+00;-1,28E+00;0,76;
208;-4,00E-02;1,16E+00;-1,20E+00;0,76;
210;-7,99E-02;1,20E+00;-1,28E+00;0,76;
212;-4,00E-02;1,16E+00;-1,20E+00;0,76;
214;-7,99E-02;1,20E+00;-1,28E+00;0,76;
216;-7,99E-02;1,16E+00;-1,24E+00;0,76;
218;-4,00E-02;1,20E+00;-1,24E+00;0,76;
220;-4,00E-02;1,16E+00;-1,20E+00;0,76;
222;-7,99E-02;1,16E+00;-1,24E+00;0,76;
224;-7,99E-02;1,16E+00;-1,24E+00;0,76;
226;-4,00E-02;1,16E+00;-1,20E+00;0,76;
228;-4,00E-02;1,16E+00;-1,20E+00;0,76;
230;-7,99E-02;1,20E+00;-1,28E+00;0,76;
